model,55124,118711,175571,234250,299144,355348,412318,467284,580157,916174
gemini-2.5-pro,0.6011815915186136,0.5080585889746261,0.47929339281546074,0.4128906240284867,0.37903295726534786,0.3427753801645313,0.34114704268893764,0.2958306516706244,0.29839621224939,
gpt-5,0.5874079262,0.4571569845,0.3652874126,0.2795241764,0.2129129845,0.1972613673,,,,
gpt-5-mini,0.4985512619,0.29904648,0.2388821246,0.2135399417,0.1774627775,0.153559155,,,,
gpt-5-nano,0.4309151785,0.268189185,0.2323183762,0.2037377311,0.1650808351,0.1686565899,,,,
o3,0.5056577208,0.3357115218,0.2599239627,0.2289380655,,,,,,
o4-mini,0.4169321083,0.2177216009,0.1793127205,0.1462006909,,,,,,
claude-sonnet-4-20250514,0.5058093995,0.3297986368,0.2670064426,0.2699979011,0.242298278,0.2211295093,0.2377282299,0.2057898887,0.1897373584,0.1455205983
deepseek-r1-0528,0.4785313936,0.2734531485,0.2080900566,,,,,,,
gpt-5-nano-low,0.4278932849,0.2471748824,0.2026724185,0.1758002991,0.1450369026,0.1504616236,,,,
gpt-5-nano-high,0.4296106039,0.2620240817,0.2199411842,0.2064233065,0.165577765,0.1543053414,,,,
Llama-4-Maverick-17B-128E-Instruct-FP8,0.02483680973,0.0210881313,0.01616622251,0.01215501777,0.01122846696,0.006912734173,0.01112672249,0.009341498076,0.006952391827,0.007125385858
